SNR_dB,SER_nd=2,SER_nd=4,SER_nd=8
-20.0,0.9128250466692416,0.9126388523982661,0.9128306066071311
-19.5,0.8980118090281107,0.8983663733321496,0.8990629031606209
-19.0,0.8831164245124562,0.8819192753970115,0.8822965813846061
-18.5,0.8624693173477032,0.8622429327392117,0.8626385761746029
-18.0,0.8387807710145878,0.8389136694846073,0.8401478138730394
-17.5,0.8107372453059561,0.8111392181659101,0.813295499845867
-17.0,0.7794415418544651,0.7794147548008128,0.7809247921810333
-16.5,0.7426793183338509,0.74270314965093,0.7449679052102527
-16.0,0.6992906147741087,0.7002661113367956,0.7031029034862888
-15.5,0.6492188634731921,0.6517625797805051,0.6562132359443854
-15.0,0.5957350525101874,0.5968603684473304,0.6038585491319295
-14.5,0.5353522020513561,0.5387040155472058,0.5458907131687224
-14.0,0.4709659127833159,0.4741833177083849,0.4850374600246237
-13.5,0.4030986191823333,0.4089979838969888,0.42097112477645027
-13.0,0.3367731035691621,0.3434157575114948,0.35799946110182335
-12.5,0.26951049294654733,0.27868546079758044,0.2935072226949485
-12.0,0.20823323940327756,0.21699824251538427,0.23793118906839092
-11.5,0.1531824039313126,0.16645428292394943,0.18758460782605532
-11.0,0.1073302566603783,0.11960742535442005,0.14424790038972218
-10.5,0.06953236546605794,0.08374987774889917,0.11135197291605121
-10.0,0.04590598702039652,0.05893888648942726,0.08663044755964315
-9.5,0.02696300556879497,0.04112795544717194,0.07192101216537623
-9.0,0.018318445265809103,0.031560203402601246,0.06165361820844852
-8.5,0.012888523668195685,0.029245244562424062,0.05582601425278934
-8.0,0.009686837367454874,0.023330044469479824,0.053224963206362594
-7.5,0.007393395716840397,0.02389514885669015,0.05315880390996204
-7.0,0.007811124243547539,0.023482319967575514,0.053144257739815265
-6.5,0.006800140320984038,0.023051415864780808,0.052482972160041164
-6.0,0.00899815044014421,0.022821146557278717,0.0531275028191724
-5.5,0.007983011358988455,0.022469244447740476,0.05165344183708211
-5.0,0.006191110942204904,0.024034969768722065,0.05293496300780409
-4.5,0.007646445808575616,0.019750727760688827,0.05427693423605569
-4.0,0.008257061434580396,0.02209554065322959,0.052394396084123496
-3.5,0.005906283869581669,0.02342899461738138,0.053398646217766584
-3.0,0.008749348040344163,0.02202322065280871,0.05411986660844059
-2.5,0.005837504241601629,0.023612032050415066,0.05150985768929517
-2.0,0.00848685159872974,0.024160576683433,0.05257599826022876
-1.5,0.008522247551502871,0.02385522009325818,0.0509112857467019
-1.0,0.008634764871439944,0.023250164401727863,0.052916579564944805
-0.5,0.007418695374309069,0.023234438762467394,0.053160546385733885
0.0,0.0070889649769706065,0.023506470028636785,0.05117117447001904
