parameter,value
signal_duration_us,142.8
center_frequency_ghz,4.7
signal_bandwidth_mhz,1.0
terminal_bandwidth_mhz,0.01
tx_sampling_rate_mhz,16.0
rx_sampling_rate_mhz,0.02
tx_power_dbm,20.0
snr_db,0.0
shadowing_enabled,true
shadowing_std_db,8.0
deployment_mode,fixed
num_terminals,1
area_size_m,100.0
min_distance_m,10.0
max_distance_m,500.0
path_loss_exponent,3.0
reference_distance_m,1.0
reference_path_loss_db,0.0
signal_interval_ms,20.0
total_duration_ms,110.0
power_threshold_dbm,-130.0
detection_rate_percent,100.0
